Symbol,Company,Industry,Close,200DMA,Status,Difference %
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,232.46,239.35,Below,-2.88
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,618.04,636.62,Below,-2.92
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,2157.92,2222.98,Below,-2.93
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,12558.6,12942.02,Below,-2.96
TATAPOWER,Tata Power Co. Ltd.,Power,386.71,398.59,Below,-2.98
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,95.32,98.25,Below,-2.99
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,114.73,118.39,Below,-3.09
MAHABANK,Bank of Maharashtra,Financial Services,49.21,50.8,Below,-3.13
JSWINFRA,JSW Infrastructure Ltd.,Services,291.77,301.41,Below,-3.2
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,174.28,180.11,Below,-3.24
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,299.9,310.17,Below,-3.31
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,195.29,202.16,Below,-3.4
EIHOTEL,EIH Ltd.,Consumer Services,365.45,378.32,Below,-3.4
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,1349.71,1397.78,Below,-3.44
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,30589.81,31701.03,Below,-3.51
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,955.44,990.54,Below,-3.54
DMART,Avenue Supermarts Ltd.,Consumer Services,4023.5,4176.52,Below,-3.66
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,308.16,319.93,Below,-3.68
ETERNAL,Eternal Ltd.,Consumer Services,239.5,248.68,Below,-3.69
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,537.02,557.94,Below,-3.75
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,1375.85,1431.43,Below,-3.88
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,682.39,709.97,Below,-3.89
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,1817.03,1891.33,Below,-3.93
IIFL,IIFL Finance Ltd.,Financial Services,385.3,401.52,Below,-4.04
BANKBARODA,Bank of Baroda,Financial Services,212.42,221.68,Below,-4.18
ADANIPOWER,Adani Power Ltd.,Power,109.31,114.11,Below,-4.2
CANFINHOME,Can Fin Homes Ltd.,Financial Services,710.91,742.28,Below,-4.23
PTCIL,PTC Industries Ltd.,Capital Goods,12749.0,13317.39,Below,-4.27
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,162.09,169.44,Below,-4.34
AARTIIND,Aarti Industries Ltd.,Chemicals,467.35,488.85,Below,-4.4
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,2315.76,2425.17,Below,-4.51
NTPC,NTPC Ltd.,Power,339.59,355.62,Below,-4.51
INDIACEM,India Cements Ltd.,Construction Materials,318.75,333.82,Below,-4.51
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,1112.45,1167.83,Below,-4.74
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,38.18,40.07,Below,-4.74
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,1669.82,1754.19,Below,-4.81
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,2088.88,2198.99,Below,-5.01
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,306.3,322.52,Below,-5.03
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,1016.01,1070.17,Below,-5.06
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,689.76,726.84,Below,-5.1
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,211.86,223.44,Below,-5.18
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,200.0,210.95,Below,-5.19
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,424.4,448.21,Below,-5.31
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,1388.0,1466.05,Below,-5.32
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,663.23,701.17,Below,-5.41
POLYCAB,Polycab India Ltd.,Capital Goods,5931.01,6270.82,Below,-5.42
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,1188.07,1258.53,Below,-5.6
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,369.52,391.7,Below,-5.66
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,1511.69,1603.34,Below,-5.72
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,644.38,683.6,Below,-5.74
WIPRO,Wipro Ltd.,Information Technology,245.97,261.21,Below,-5.83
PIIND,PI Industries Ltd.,Chemicals,3693.25,3930.6,Below,-6.04
BIOCON,Biocon Ltd.,Healthcare,327.32,348.36,Below,-6.04
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,816.93,869.9,Below,-6.09
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,752.76,803.28,Below,-6.29
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,596.97,637.32,Below,-6.33
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,231.49,247.15,Below,-6.34
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,360.36,385.23,Below,-6.45
HAVELLS,Havells India Ltd.,Consumer Durables,1564.43,1672.28,Below,-6.45
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,2183.12,2333.66,Below,-6.45
NLCINDIA,NLC India Ltd.,Power,225.76,241.59,Below,-6.56
INDGN,Indegene Ltd.,Healthcare,566.1,606.02,Below,-6.59
ACE,Action Construction Equipment Ltd.,Capital Goods,1205.03,1290.19,Below,-6.6
IPCALAB,Ipca Laboratories Ltd.,Healthcare,1369.7,1468.29,Below,-6.71
ALKEM,Alkem Laboratories Ltd.,Healthcare,4972.17,5345.2,Below,-6.98
PNB,Punjab National Bank,Financial Services,90.45,97.29,Below,-7.03
GRAVITA,Gravita India Ltd.,Metals & Mining,1897.8,2042.48,Below,-7.08
RRKABEL,R R Kabel Ltd.,Capital Goods,1269.78,1366.61,Below,-7.09
PFC,Power Finance Corporation Ltd.,Financial Services,397.03,427.66,Below,-7.16
BLUEDART,Blue Dart Express Ltd.,Services,6674.58,7190.67,Below,-7.18
TORNTPOWER,Torrent Power Ltd.,Power,1440.04,1552.23,Below,-7.23
COHANCE,Cohance Lifesciences Ltd.,Healthcare,1063.3,1146.86,Below,-7.29
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,1201.39,1296.42,Below,-7.33
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,331.91,358.81,Below,-7.5
TATAELXSI,Tata Elxsi Ltd.,Information Technology,5925.5,6409.5,Below,-7.55
PHOENIXLTD,Phoenix Mills Ltd.,Realty,1521.36,1648.54,Below,-7.71
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,2423.01,2627.13,Below,-7.77
360ONE,360 ONE WAM Ltd.,Financial Services,951.61,1031.99,Below,-7.79
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,268.85,291.89,Below,-7.89
GRAPHITE,Graphite India Ltd.,Capital Goods,457.42,497.02,Below,-7.97
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,702.81,765.88,Below,-8.23
LINDEINDIA,Linde India Ltd.,Chemicals,6311.26,6877.61,Below,-8.23
SIGNATURE,Signatureglobal (India) Ltd.,Realty,1195.8,1303.87,Below,-8.29
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,7740.69,8448.01,Below,-8.37
3MINDIA,3M India Ltd.,Diversified,28706.88,31392.33,Below,-8.55
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,481.08,526.15,Below,-8.57
BLS,BLS International Services Ltd.,Consumer Services,360.57,396.18,Below,-8.99
MPHASIS,MphasiS Ltd.,Information Technology,2482.79,2732.38,Below,-9.13
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,601.11,661.55,Below,-9.14
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,1011.07,1114.06,Below,-9.24
TCS,Tata Consultancy Services Ltd.,Information Technology,3452.65,3805.97,Below,-9.28
JMFINANCIL,JM Financial Ltd.,Financial Services,101.28,111.67,Below,-9.3
JSL,Jindal Stainless Ltd.,Metals & Mining,607.67,670.13,Below,-9.32
INFY,Infosys Ltd.,Information Technology,1546.67,1707.83,Below,-9.44
